الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
geštug	383	𒉿
gešturu	295	
gez	296	𒄑
gi	085	𒄀
gi₁₀	173	𒉋
gi₁₁?	595	
gi₁₂	558	𒊩𒆳
gi₁₆	067	𒄃
gi₁₇	446	𒈪𒉭
gi₁₈	440	𒁶
gi₂	313	𒆤
gi₂₅	445	
gi₂₅?	445	
gi₂₇	371	𒁍
gi₄	326	𒄄
gi₅	461	𒆠
gi₆	427	𒈪
gi₈	449	𒅆
gi₉	172	𒉈
gib	067	𒄃
gib₃	446	𒈪𒉭
gibi	173	
gibil	173	𒉋
gibil⁻	172	
gibil₂	548	𒋙𒀾
gibil₄	172	𒉈
gibil₇	546	𒋙𒀭
gibila	173	𒉋
gibir	548	𒋙𒀾
gibir₂	546	𒋙𒀭
gibiru	411	𒌋
giburu	411	𒌋
gid	313	𒆤
gid₂	371	𒁍
gid₃?	104	
gid₄?	090	
gid₆	063d	𒋺
gida₂	371	𒁍
gida₄	090	𒃰
gidar	295	𒉺
gidi₃	371	𒁍
gidim	576	𒄇
gidim₃	371	𒁍
gidim₇?	297	
gidri	295	𒉺
gidru	295	𒉺
gig	446	𒈪𒉭
gig₂	427	𒈪
gig₃?	067	
gig₄	595	
gig₄?	595	
giggi	427	𒈪
gigi	326a	𒄆
gigi₂	427	𒈪
gigir	486	𒇀
gigir₂	511	𒇥
gigir₃	503	𒇕
gigira	486	𒇀
gigira₂	511	𒇥
giguru	411	𒌋
giguru₃	024	𒆂
gikki	427	𒈪
gil	067	𒄃
gil₂	483	𒆸
gil₃	320	𒅍
gil₄	173	
gili	067	𒄃
gili₂	483	𒆸
gili₃	016	𒅲
gilib₃	016	𒅲
gilib₄	016a	𒅽
gilili	596	𒉾
gilim	067	𒄃
gilim₂	596	𒉾
gilin	596	𒉾
gillim	067	𒄃
gilugu?	484	
gim	440	𒁶
gim₂	595	𒂆
gim₃	558	𒊩𒆳
gim₄	202	𒁽
gim₅?	201	
gim₆	206	𒁺
gim₇	371	𒁍
gim₈?	092c	
gimi	440	𒁶
gin	206	𒁺
gin₂	595	𒂆
gin₃	366	𒆳
gin₄	066c	𒍤𒆸
gin₅	558	𒊩𒆳
gin₆	085	𒄀
gin₇	440	𒁶
gin₈	401	𒄯
gina	144n	𒌉𒁹
gina₂	595	𒂆
gina₃	366	𒆳
ginan	144n	𒌉𒁹
ginna	144n	𒌉𒁹
gir	346	𒄫
gir₁₀	172	𒉈
gir₁₂	148	𒅔
gir₁₃	314	𒋃
gir₁₄	589	𒄩
gir₁₆	423	𒄌
gir₁₇	015	𒅗
gir₂	010	𒄈
gir₃	444	𒄊
gir₄	430	𒌋𒀜
gir₅	202	𒁽
gir₆	201	𒁼
gir₇	206	𒁺
gir₈	483	𒆸
gir₉	424	𒀚
giraba	128	𒀊
girak	483	
gireš	400	𒄵
giri	346	𒄫
giri₁₃	314	
giri₁₆	423	𒄌
giri₁₇	015	𒅗
giri₂	010	𒄈
giri₃	444	𒄊
giri₅	202	𒁽
giri₆	201	𒁼
giri₈	483	𒆸
giriak	483	
girid₂	423	𒄌
girim	483	𒆸
girim₂	202	𒁽
girin	483	𒆸
giriš	400	𒄵
giriš₃	051	𒀵
giru₃	444	𒄊
girum	362	𒃵
gis	296	𒄑
giš	296	𒄑
giṣ?	296	
giš₃	211	𒍑
giša	296	𒄑
gisal	226	𒄐
gišal?	226	
gišbar	301	𒀣
gišdu	383	𒉿
gišgal	049x	𒍇
gišhur	354b	𒆒
gišimmar	356	𒊷
giškad	354b	𒆒
gišmaš	301	𒀣
gišnimbar	356	
giššir	054v	𒂙
gištu	383	𒉿
gistug	383	
gištug	383	𒉿
gišturu	295	𒉺
git	313	𒆤
git₂	371	𒁍
giṭ₂	371	𒁍
giz	296	𒄑
gizal	226	𒄐
gizza	427	
gu	559	𒄖
gu₁₀	061	𒈬
gu₁₁?	319	
gu₁₃?	401	
gu₁₄	461	𒆠
gu₁₅	565	𒈝
gu₁₆?	133	
gu₂	106	𒄘
gu₃	015	𒅗
gu₄	297	𒄞
gu₅	536	𒆪
gu₆?	035	
gu₇	036	𒅥
gu₈	191	𒄣
gu₉	072a	𒆰
gub	206	𒁺
gub₂	059	𒇷
gub₃	088	𒆏
gub₄	231	𒉌
gub₅	313	𒆤
guba	206	𒁺
gubu	206	𒁺
gubu₃	088	𒆏
gud	297	𒄞
gud₂	121	𒊥
gud₄	012	𒋻
gud₆	565	𒈝
gud₇	536	𒆪
gud₈	483	𒆸
gud₉	314	𒋃
guda₃	121	𒊥
gudibdim	401	𒄯
gudibir	063d	𒋺
gudiddi	025b	𒅝
gudma	297	𒄞
gudu	297	𒄞
gudu₂	121	𒊥
gudu₅	389	𒊳
gug	591	𒍝𒄢
gug₂	345	𒈖
gug₄	066c	𒍤𒆸
gug₅	151v	𒈘 / 𒈙
gugarid	297	𒄞
guggim	003	𒈮
gugim	003	𒈮
guhšu	568	𒋟
guhšu₂	566	𒈞𒋙
gukim	003	𒈮
gukin	519	𒇐
gukin₂	410	𒄳
gukiri	021	𒅿
gul	429	𒄢
gul₂	072a	𒆰
gul₃	376	𒋼
gulu	429	𒄢
gum	191	𒄣
gum₂	565	𒈝
gum₂-gum₂-šu₂	566	
gum₃	172	𒉈
gum₄	362	𒃵
gumgumšu	566	𒈞𒋙
gumle	155	𒂫
gumu	565	𒈝
gun₂	106	𒄘
gun₃	113	𒁯
gun₄	195	𒀕
gun₅	565	𒈝
guna₄	195	𒀕
gunin₂	522	𒆹
gunu₃	113	𒁯
gunu₄	195	𒀕
gup	206	𒁺
gup₂?	059	
gup₅	313	𒆤
guq	591	𒍝𒄢
gur	111	𒄥
gur₁₀	538	𒆥
gur₁₁	319	𒂵
gur₁₃	231	𒉌
gur₁₄	401	𒄯
gur₁₅	594	𒌴
gur₁₆	366	𒆳
gur₁₈	015	𒅗
gur₂	362	𒃵
gur₂₂	484	𒇉
gur₂₄	565	
gur₃	320	𒅍
gur₄	483	𒆸
gur₅	046	𒍀
gur₆	105	𒃸
gur₇	542	𒄦
gur₈	058	𒋽
gur₉	176	𒉒
gura	111	𒄥
gura₈	058	𒋽
gurdub	243	𒃍
gurdub₂?	256	
gurgu₂	565	
gurin	310	𒂁 / 𒄧
guru	111	𒄥
guru₁₂	411	𒌋
guru₂	362	𒃵
guru₂₀	310	𒄧
guru₂₂	530	
guru₃	320	𒅍
guru₅	046	𒍀
guru₆	105	𒃸
guru₇	542	𒄦
guru₈	058	𒋽
gurum	362	𒃵
gurum₂	454	𒅆𒂟
gurun	310	𒄧
gurun₃?	483	
gurun₄	530	𒇫
gurun₇	309	𒂁
gurun₈	465	𒁷
guruš₂	110	𒆯
guruš₃	046	𒍀
guruš₄	126	𒋳
gurusa	110	𒆯
gurušda	110	𒆯
gurušta	110	𒆯
gurušti	110	𒆯
gušur	255	
gušur?	255	
guz	565	𒈝
guz₂	371	𒁍
guz₃	536	𒆪
ha	589	𒄩
ha₃	411	𒌋
ha₄	396	𒄭
ha₅	381	𒌓
ha₆	346	𒄫
ha₇	319	𒂵
hab	483	𒆸
hab₂	511	𒇥
haba	483	𒆸
habrud	462	𒆢
habrud₂	462v	𒆡
habrud₃	384n	𒊰
habrud₄	386n	𒊵
habruda	462	𒆢
habruda₂	462v	𒆡
habruda₃	384n	𒊰
habruda₄	386n	𒊵
habur	230	
had	295	𒉺
had₂	381	𒌓
had₃	356	𒊷
had₄	354b	𒆒
hada₂	381	𒌓
haia	560	𒉄
hal	002	𒄬
hal₂	555	𒍮
hala	002	𒄬
halubba	277	𒃑
hamanzer	295k	𒉺𒅁
hanburuda	462	𒆢
haniš₂	151	𒈗
haniš₃	295	𒉺
hap	483	𒆸
hap₂	511	𒇥
har	401	𒄯
har₂	297	𒄞
hara	401	𒄯
hara₂?	297	
hara₄	288	𒁚
hara₅	290	𒁬
haru₄	288	𒁚
harub	290	𒁬
haruba	290	
has	012	𒋻
haš	012	𒋻
haṣ	012	𒋻
has₂	295	𒉺
haš₂	190	𒍨
haṣ₂	295	𒉺
haš₃	381	𒌓
haš₄	555	𒍮
hašhur	146	𒈢
hat	295	𒉺
haṭ	295	𒉺
hata	295	𒉺
haya	560	𒉄
haz	012	𒋻
haz₂	295	𒉺
hazabur	318	𒌑
he	396	𒄭
he₂	143	𒃶
hegal	237	𒂼
henbur	230	𒆕
hendur	295	𒉺
heš	381	𒌓
heš₂	190	𒍨
hi	396	𒄭
hi₂	143	𒃶
hibira	305	𒀤
hibis	144n	𒌉𒁹
hibis₂	300	𒀨
hibiz	144n	𒌉𒁹
hibiz₂	300	𒀨
hilib₂	165	𒉀
hilibu	308n	𒂌
hir₂	401	𒄯
hirin₂	110	𒆯
his	381	𒌓
hiš	381	𒌓
hiš₂	190	𒍨
hiš₄	402	𒄭𒄊
hiz	012	𒋻
hu	078	𒄷
hu₂	058	𒌅
hu₃	411	𒌋
hu₄	401	𒄯
hu₅	565	𒈝
hub	089	𒄽
hub₂	088	𒄸
hubhub	317	𒋄
hubhub₂	317a	𒋅
hubur	394d	𒉯
hud	295	𒉺
hud₂	381	𒌓
hud₄	356	𒊷
huduš	058	𒌅
hul	456	𒅆𒌨
hul₂	550	𒄾
hul₄	456a	𒅆𒌪
hula	456	𒅆𒌨
hula₂	550	𒄾
hulu	456	𒅆𒌨
huluh	321	𒈛
hulum	294a	𒁧
hulum₂	120n	𒊜
hulum₃	294d	𒁠
hum	565	𒈝
humu	565	𒈝
humuh	512	𒇦
hunin	294d	𒁠
hup	089	𒄽
hup₂	088	𒄸
hur	401	𒄯
huru	401	𒄯
hus	565	𒈝
huš	402	𒄭𒄊
hus₂	012	𒋻
huš₂	444	𒄊
huša	402	𒄭𒄊
huya	392	𒌔
huz?	565	
i	142	𒄿
iʾ	397	𒀪
iʾ₂?	398	
i₁₁	396	𒄭
i₁₄	061	𒈬
i₁₅?	308	
i₁₆	383	𒉿
i₂	598a	𒐊
i₃	231	𒉌
i₄	229n	𒉌𒌓
i₅	015	𒅗
i₆	536	𒌆
i₈	484	𒇉
ia	142a	𒅀
ia₂	598a	𒐊
ia₃	231	𒉌
ia₄	229n	𒉌𒌓
ia₅	061	𒈬
ia₈	383	𒉿
ia₉	329a	𒀼𒋰
ib	535	𒅁
ib₂	207	𒌈
ibbi	535	𒅁
ibbi₂	172	
ibila₄	144	𒌉
ibira	023	𒅪
ibira₂	025n	𒅛
id	334	𒀉
id₃	484	𒇉
id₈	052	𒌗
idi	265	𒃟
idi₂	334	𒀉
idi₃	335	𒁕
idin	069	𒁁
ie	142a	𒅀
ig	080	𒅅
ig₂	308	𒂊
ig₃	183	𒉘
igi	449	𒅆
igi₂	351	𒅊
igu	449	𒅆
ih	398	𒄴
ih₂	397	𒀪
ii	142a	𒅀
ik	080	𒅅
iku	105	𒃷
iku₂	234	𒂽
il	205	𒅋
il₁₀	298	𒀠
il₂	320	𒅍
il₃	013	𒀭
il₄	480	𒁹
il₅	564	𒂖
il₆	304	𒀧
il₈	205a	𒅌
il₉?	336	
ila	013	𒀭
ila₂	320	𒅍
ilamma?	510	
ilar	068	𒊒
ilba	233	𒂷
ilba₂	166b	𒆜𒆳
ildag	083	𒋥
ildag₃	170	𒄠
ildag₄	210a	𒃿
ilha	166b	𒆜𒆳
ili	013	𒀭
ili₂	320	𒅍
ili₅	564	𒂖
ili₆	480	𒁹
ilimmu	598e	𒑆
ilimmu₄	363	𒑈
illa	560	𒉄
illag	483	𒆸
illamma	510	𒇌
illar	068	𒊒
illat	166b	𒆜𒆳
illil₂	475	𒐐
illulu	068	𒊒
illur	068	𒊒
illuru	068	𒊒
ilu	013	𒀭
ilumer	399	𒅎
ilumer₂	044	𒍂
ilumer₃	355	𒈜
im	399	𒅎
im₂	202	𒁽
im₃	183	𒉘
im₅?	201	
im₆	206	𒁺
imdudu	374	𒈲
imi	399	𒅎
imi₂	237	𒂼
imin₃	331b	𒀼𒀼𒀸 / 𒑁
imma	028	𒆉
imma₂	035	𒅘
imma₃	351	𒅊
immeli?	035	
immen	028	𒆉
immen₂	035	𒅘
immin	028	𒆉
immin₂	035	𒅘
immindu	510	𒇌
immindu₂	528	𒇅
in	148	𒅔
in₄	099	𒂗
in₅	556	𒊩𒌆
in₆	001	𒀸
ina	001	𒀸
ina₂	449	𒅆
inana	103v	𒈹
inanna	103v	𒈹
inbir₂	330	
inda	176	𒉒
inda₃	597	𒃻
inda₄	528	𒇅
inda₅	510	𒇌
indadili	177	
indadilida	177n	
indagara	184	𒉖
indagra	184	𒉖
ini	148	𒅔
ini₂	449	𒅆
inim	015	𒅗
inini	103v	𒈹
inna	540	𒁱
innana	103v	𒈹
innin	103v	𒈹
inta₃?	597	
inu₂	449	𒅆
ip	535	𒅁
ip₂	207	𒌈
ipig	592	𒋝
iq	080	𒅅
ir	232	𒅕
ir₁₀?	206	
ir₁₁	051	𒀵
ir₁₇	347	𒂇
ir₃	050	𒀴
ir₄	038	𒌷
ir₅?	401	
ir₆	581	𒀅
ir₇?	166	
ir₉	444	𒄊
irbura	063d	𒋺
irda	050	𒀴
ire₁₄	232	𒅕
irhan	374	𒈲
iri	038	𒌷
iri₁₁	195	𒀕
iri₁₂	128	𒀊
iri₁₄	232	𒅕
irib₂	502	𒇗
iribura	063d	𒉫
irigal	194	𒀍
irigal₂	195	𒀕
irigal₃	128	
irimma	049	
irišeb	047	𒍁
irra	444	
irsag	166	
is	296	𒄑
iš	212	𒅖
iṣ	296	𒄑
iš₁₀	211	𒍑
iš₁₁	436	𒇵
is₂	212	𒅖
iš₂	166	𒆜
iṣ₂	212	𒅖
is₃	128	𒀊
iš₃	472	𒌍
iṣ₃	128	𒀊
iš₄	480	𒁹
is₅	472	𒌍
iš₅	015	𒅗
iš₆	296	𒄑
iš₇	128	𒀊
iš₈	360	𒀹
išhara	278	𒃌
išhara₃	529	𒆸𒆸
išhara₄	252	𒃢
išhur₄	252	𒃢
išhuru	278	𒃌
išhuru₂	044	𒍂
išhuru₃	105	𒃷
išhuru₄	252	𒃢
išhuru₅	250i	𒃗
išhurum₃	105	𒃷
išhurum₅	250i	𒃗
isi	212	𒅖
iši	212	𒅖
isi₂	429	𒄢
iši₂	547	𒋙𒀭 / 𒋙𒀯
isi₃	430	𒌋𒀜
isib	532	𒈨
išib	532	𒈨
isim₂	429	𒄢
isim₃	430	𒌋𒀜
isimu₂	429	𒄢
isimu₃	430	𒌋𒀜
isin₂	148	𒅔
isiš	212	𒅖
isiš₃	581	𒀅
iski	324	𒂍
iškila?	390	
iškili?	390	
iškur	399	𒅎
isla	390	
išla	390	𒊯
isli	390	
išli	390	𒊯
ištar	103v	𒈹
it	334	𒀉
iṭ	334	𒀉
iti	052	𒌗
iti₃	166a	𒆜𒌚
itid	052	𒌗
itim	265	𒃟
itima	265	𒃟
itima₂	382v	𒌖
itu	052	𒌗
itud	052	𒌗
iu	142a	𒅀
iu₂	383	𒉿
iw	383	𒉿
iz	296	𒄑
iz₂	212	𒅖
iz₃	128	𒀊
izi	172	𒉈
izu	172	𒉈
ka	015	𒅗
ka₁₁	376x	𒋼𒀀
ka₁₄	006	𒍪
ka₁₅	230	𒆕
ka₂	133	𒆍
ka₃	319	𒂵
ka₄	062	𒋡
ka₅	355	𒈜
ka₆	596	𒉾
ka₇	202	𒁽
ka₈?	214	
ka₉	314	𒋃
kab	088	𒆏
kab₂	035	𒅘
kabta	141a	𒋯
kad	090	𒃰
kad₂	063a	𒆐
kad₃	063c	𒆑
kad₄	354b	𒆒
kad₆	395	𒍦
kad₈	365	𒀽
kag₂	015	𒅗
kagar	080	𒅅
kak	230	𒆕
kak₂	015	𒅗
kakkala	110	𒆯
kakkuda	110	𒆯
kakkul₃	415a	𒌋𒁴
kakkula	110	𒆯
kakkuša	110	𒆯
kakra	399	𒅎
kakru	399	𒅎
kaku	202	𒁽
kal	322	𒆗
kal₂	343	𒃲
kal₃	230	𒆕
kal₄	554	𒊩
kala	322	𒅤 / 𒆗
kala₁₀	489	𒇂
kala₃	511	𒇥
kala₄	498	𒆽
kala₅	514	𒇏
kalag	322	𒆗
kalaga	322	𒆗
kalam₂?	400	
kalga	322	𒆗
kam₃	354b	𒆒
kam₄	060x	𒆛
kamaš	202	𒁽
kamuš	297	𒄞
kan	143	𒃶
kan₂	105	𒃷
kan₃	119	𒊝
kan₄	133	𒆍
kan₆	019	𒅤
kana	143	𒃶
kana₂	105	𒃷
kana₃	119	𒊝
kana₆	019	𒅤
kankan	133	𒆍
kap	088	𒆏
kapa	088	𒆏
kaptu	445	𒂂
kaq	230	𒆕
kar	376x	𒋼𒀀
kar₂	105	𒃸
kar₃	333	𒃼
kar₄	346	𒄫
kar₅	597	𒃻
kara	376x	𒋼𒀀
kara₂	105	𒃸
kara₄	354b	𒆒
kara₆	542	𒄦
karadin₂	369	𒊼
karadin₃	370	𒊽
karadin₅	529	𒆸𒆸
karam	262	𒃫
karkar	399	𒅎
karkara	399	𒅎
kas	166	𒆜
kaš	214	𒁉
kaṣ	166	
kas₂	214	𒁉
kaš₂	166	𒆜
kaṣ₂	214	𒁉
kas₃	192	𒄤
kaš₃	211b	𒍒
kaṣ₃	192	𒄤
kas₄	202	𒁽
kaš₄	202	𒁽
kas₅	201	𒁼
kaš₅	206	𒁺
kas₆	191	𒄣
kaš₆	192	𒄤
kas₇	314	𒋃
kasa	166	𒆜
kaskal	166	𒆜
kaššeba?	151	
kaššeba₂?	358	
kaššeba₃?	357	
kaššebi?	151	
kaššebi₂?	358	
kaššebi₃?	357	
kat	090	𒃰
kat₂	063a	𒆐
kat₃	063c	𒆑
kat₄	354b	𒆒
kat₇	354	𒋗
kata₃	063c	𒆑
kaz	192	𒄤
kaz₀	166	𒆜
kazab	318	𒌑
kazabu	318	𒌑
kazabur	318	𒌑
kazba	192	
kazbi	318	𒌑
kazbu	318	𒌑
ke	461	𒆠
ke₂	085	𒄀
ke₄	313	𒆤
ke₅	440	𒁶
kel	483	𒆸
kel₃	529	𒆸𒆸
kele	483	𒆸
kem	440	
ken	538	𒆥
ken₂	401	𒄯
ker	346	𒄫
keš	425	𒆧
keš₁₈	392	𒌔
keš₄	466	𒊔
keš₇?	284	
keš₉	290	𒁬
keše	425	
keše₄	466	𒊔
keši₁₈	392	𒌔
ket	313	𒆤
ki	461	𒆠
ki₂	085	𒄀
ki₄	313	𒆤
ki₅	440	𒁶
ki₆	006	𒍪
ki₇	230	𒆕
ki₈	326	𒄄
ki₉	538	
kib₃	446	
kibir₂	548	𒋙𒀾
kibir₃	546	𒋙𒀭
kid	313	𒆤
kid₁₀	371	𒁍
kid₂	063d	𒋺
kid₄	314	𒋃
kid₅	354b	𒆒
kid₉	090	𒃰
kig	446	
kig₂	538	𒆥
kik	446	𒈪𒉭
kikken	401	𒄯
kikkin	401	𒄯
kil	483	𒆸
kil₂	067	𒄃
kil₃	529	𒆸𒆸
kil₄	092	𒃰𒋺
kili	483	𒆸
kili₃	529	𒆸𒆸
kilib	483	𒆸
kilib₃	529	𒆸𒆸
kilibu	318	𒌑
kilim	596	𒉾
kilim₂	067	𒄃
kilin	596	𒉾
kim	440	𒁶
kim₂	354b	𒆒
kim₃	371	𒁍
kim₄	202	𒁽
kim₅	201	𒁼
kim₆	206	𒁺
kin	538	𒆥
kin₂	401	𒄯
kin₃	366	𒆳
kin₄	529	𒆸𒆸
kin₅?	040	
kin₇	206	𒁺
kin₈	440	𒁶
kinbur	525	𒆼
kinda	091	𒃱
kinga?	538	
kingusila	573	𒑜
kingusila₂	475	
kingusili	573	𒑜
kingusili₂	475	𒐐
kinkin	401	𒄯
kir	346	𒄫
kir₁₀	444	𒄊
kir₁₃	430	𒌋𒀜
kir₁₄	023n	𒅯
kir₁₇	434	
kir₂	424	𒀚
kir₃	483	𒆸
kir₄	015	𒅗
kir₆	423	𒀘
kir₇	434a	𒉑
kir₈	376x	𒋼𒀀
kir₉	589	𒄩
kiraš	051	𒀵
kirban	314	
kirbanu?	317	
kiri	346	𒄫
kiri₂	105	𒃸
kiri₃	015	𒅗
kiri₄	390	𒊯
kiri₅?	444	
kiri₈	314	𒋃
kiri₉	424	𒀚
kis	425	𒆧
kiš	425	𒆧
kiṣ	425	𒆧
kis₂	296	𒄑
kiš₅	596	𒉾
kiša₂	010	𒄉
kisal	249	𒆦
kiše	425	
kiše₄	466	
kišeb	138	
kišeg₂	010	𒄉
kisi	211b	𒍒
kiši	425	𒆧
kiši₁₁	227	𒅃
kiši₁₄	551	𒋙𒉀
kiši₁₇	010	𒄉
kiši₄	466	𒊔
kiši₅	596	𒉾
kiši₆	551v	𒊾
kiši₇	284	𒁝
kiši₉	290	𒁬
kišib	314	𒈩
kišib₂	596	𒉾
kišib₃	138	𒁾
kisig₂	155	𒂫
kišig₂	010	𒄉
kišik₂	010	𒄉
kisim	290	𒁬
kisim₂	285	𒁪
kisim₃	293	𒁦
kislah₂	463	𒆣
kišli	390	
kit	313	𒆤
kiṭ	313	𒆤
kit₁₀	371	𒁍
kit₂	063d	𒋺
kit₉	090	𒃰
kitim	576	𒄇
ku	536	𒆪
ku₁₀	427	𒈪
ku₁₀-ku₁₀	427	
ku₁₁	461	𒆠
ku₁₂	280	𒁖
ku₁₃	191	𒄣
ku₁₄	077	𒆲
ku₁₅	297	𒄞
ku₁₆	172	𒉈
ku₂	036	𒅥
ku₃	468	𒆬
ku₄	058	𒆭
ku₅	012	𒋻
ku₆	589	𒄩
ku₇	110	𒆯
ku₈	559	𒄖
ku₉	072a	𒆰
kua	589	𒄩
kua₂	392	𒌔
kub	206	𒁺
kub₄?	313	
kud	012	𒋻
kud₃	536	𒆪
kud₅	110	𒆯
kud₆	063c	𒆑
kudma	012	𒋻
kug	468	𒆬
kug₂	077	
kugre	033n	𒅬
kugu	396	𒄭
kugur	033n	𒅬
kuia	392	𒌔
kuia₃	562	
kuk	468	𒆬
kuk₂	345	𒈖
kukku₅	427	𒈪
kukkuda	110	𒆯
kukkuda₂	212	𒅖
kukkuš	212	𒅖
kukkuša	110	𒆯
kukkušda	212	
kuksu	012	𒋻
kuku₅	427	𒈪
kukuda₂	212	𒅖
kukula	110	𒆯
kul	072a	𒆰
kul₂	429	𒄢
kula	072a	𒆰
kulla	567	𒋞
kulu	072a	𒆰
kum	191	𒄣
kum₂	172	𒉈
kum₄	381	𒌓
kun	077	𒆲
kun₁₀?	538	
kun₂	295	𒉺
kun₃	191	𒄣
kun₈	076	𒈧
kun₉	172	𒉈
kunga	547	𒋙𒀯
kungi	547	𒋙𒀯
kunin	487	𒇒
kunin₂	522	𒆹
kunin₃?	496	
kunu	077	𒆲
kup	206	𒁺
kup₃	088	𒄸
kup₄?	313	
kur	366	𒆳
kur₁₂	046	𒍀
kur₁₅	319	𒂵
kur₃	111	𒄥
kur₄	483	𒆸
kur₅	012	𒋻
kur₆	469	𒉻
kur₇	454	𒅆𒂟
kur₈?	036	
kur₉	058	𒆭
kurin	309	𒂁
kurnun?	482	
kuru₁₃	542	𒄦
kuru₄	483	𒆸
kuru₅	012	𒋻
kuru₇	454	𒅆𒂟
kurum₁₀	309	𒂁
kurum₅	012	𒋻
kurum₆	469	𒉻
kurum₇	454	𒅆𒂟
kurun₂	465	𒁷
kurun₃	309	𒂁
kurun₆	310	𒄧
kuruš	110	𒆯
kurušda	110	𒆯
kuš₁₀	596	𒉾
kus₂	565	𒈝
kuš₂	329	𒊨
kuṣ₂	565	𒈝
kuš₃	318	𒌑
kuš₆	110	𒆯
kuš₇	212	𒅖
kuš₈	550	𒄾
kuš₉	562	𒆵
kuša	562	
kušdim	297	𒄞
kušgim	297	𒄞
kušu₂	562	𒆕𒋻 / 𒆵
kušu₃	392	𒌔
kušu₄	329	𒊨
kušum₂	355	𒈜
kušum₃	297	𒄞
kusun	355	
kut	012	𒋻
kut₂	090	𒃰
kutu	012	𒋻
kuwa₂	392	𒌔
kuya₂	392	𒌔
kuz₃?	536	
kuzbi	318	𒌑
kuzbu	318	𒌑
la	055	𒆷
laʾu	482	𒇳
la₁₀	314	𒋃
la₁₂	435	𒇴
la₂	481	𒇲
la₃	075	𒉡
la₄?	206a	
la₅	482	𒇳
la₆	322	𒆗
la₇	381	𒌓
la₈	168	𒂔
lab	322	𒆗
lab₂?	355	
lad	366	𒆳
lag	314	𒋃
lagab	483	𒆸
lagal	458	𒇬
lagar	458	𒇬
lah	381	𒌓
lah₃	321	𒈛
lah₄	206a	𒁻
lah₆	206	𒁺
lah₇	202	𒁽 / 𒁽𒁽
laha₃?	321	
laha₄	206a	𒁻
lahar	494	𒇇
lahar₂	540	𒁱
lahhušu	568	𒋟
lahru	494	𒇇
lahrum	494	𒇇
lahrum₂	540	𒁱
lahta₆	282	𒁤
lahtan	394b	𒉴
lahtan₆	282	𒁤
lak	314	𒋃
laka	314	𒋃
lal	481	𒇲
lalʾu	482	𒇳
lal₂	482	𒇳
lal₃	141	𒋭
lal₆?	552	
lala₂	322	𒆗
lalah	206a	𒁻
lalla	482	𒇳
lal-lal	482	
lallal	482	𒇳
lam	435	𒇴
lam₂	172	𒉈
lam₃	557	𒁮
lam₅	449	𒅆
lam₇?	436	
lama	435	𒇴
lama₂	172	𒉈
lama₃	322	𒆗
lamahuš	066c	𒍤𒆸
lamar	322	𒆗
lamassu	322	𒆗
lamga?	560	
lamma	322	𒆗
lammar	322	𒆗
lammu	597	𒐼
lammu₆?	484	
lap	322	𒆗
laq	314	𒋃
lar	295	𒉺
lat	366	𒆳
laṭ	366	𒆳
lata	366	𒆳
le	059	𒇷
le₁₀	335	𒁕
le₂	231	𒉌
le₃	449	𒅆
le₄	013	𒀭
le₈	420	𒀖
le₉	172	𒉈
leb	355	𒈜
lel₂	313	𒆤
lel₄?	249	
lem	449	𒅆
lem₄	172	𒉈
lep	355	𒈜
leq	575	𒌨
let	420	𒀖
li	059	𒇷
li₁₀	335	𒁕
li₁₁	087	𒉣
li₁₂	377	𒇺
li₂	231	𒉌
li₃	449	𒅆
li₅	353	𒊭
li₆	143	𒃶
li₇	575	𒌨
li₈	420	𒀖
li₉	172	𒉈
lib	355	𒈜
lib₂	322	𒆗
lib₃	384	𒊮
lib₄	449	𒅆
lib₅?	118	
libi	355	𒈜
libin	153	𒂱
libir	455	𒅆𒂠
libiš	424	𒀚
libit	005	𒁀
lid	420	𒀖
lid₂	231	𒉌
lidim	302	𒀢
lig	575	𒌨
lih	381	𒌓
lih₃	321	𒈛
lih₄?	377	
lik	575	𒌨
lik₂	314	𒋃
liki	575	𒌨
lil	336	𒇸
lil₂	313	𒆤
lil₅	552	𒋙𒉈
lil₆	106	𒄘
lila₂	313	𒆤
liliru	575a	
lilis	422	𒀗
liliz	422	𒀗
lillan	151	𒈗
lillia	151	
lim	449	𒅆
lim₃	435	𒇴
lim₄	172	𒉈
lima	449	𒅆
limi	449	𒅆
limmu	597	𒐼
limmu₃	473	𒐏
limmu₄	325b	𒀼𒀸 / 𒐽
limu	597	𒐼
limu₃	473	𒐏
lip	355	𒈜
lip₂	322	𒆗
lip₃	384	𒊮
lipiš	424	𒀚
liq	575	𒌨
liq₂	314	𒋃
liri₂	001	𒀸
liri₆	063d	𒉫
liri₇	322n	𒆙
liri₈	575a	𒌩
liru₂	001	𒀸
liru₆	063d	𒉫
liru₇	322n	𒆙
liru₈	575a	𒌩
lirum₂	001	𒀸
lirum₆	063d	𒉫
lirum₇	322n	𒆙
lirum₈	575a	𒌩
lis	377	𒇺
liš	377	𒇺
lit	420	𒀖
liṭ	420	𒀖
liṭ₂	309	𒂁
liti	420	𒀖
liṭi	420	𒀖
liz	377	𒇺
lu	537	𒇻
lu₁₀	280	𒁖
lu₂	330	𒇽
lu₃	345	𒈖
lu₄	565	𒈝
lu₅	355	𒈜
lu₆	575	𒌨
lu₇	049x	𒍇
