Word,Cuneiform
zibin₂,𒁬
zid,𒍣
zig,𒍨
zig₂,𒋝
zig₃,𒍣
zigum,
zih,𒄗
zih₂,𒋚
zik,𒍨
zik₀,𒍠
zik₂,𒋝
zik₃,𒍇
zikum,𒇉
zikura,𒆜𒐋
zil,𒉣
zil₂,𒋳
zil₃,𒋻
zin,𒊿
zip,𒍦
zip₃,𒉺𒇻
zipah,𒈦
ziq,𒍨
ziq₂,𒋝
ziqi,𒍨
zir,𒆰
zir₃,𒈲
zir₄,𒋤
ziri,𒆰
zis,𒁁
ziz,𒁁
zizanu,𒆳
zizna,𒌊
zu,𒍪
zu₂,𒅗
zu₃,𒍮
zu₄,𒁁
zu₆,𒋤
zu₇,𒂄
zu₉,𒆉
zub₂,𒍦
zubud,𒄪
zubur,𒍭
zug,𒆹
zug₂,𒅗
zug₄,𒅲
zugud,𒄪
zuh,𒅗
zuk,𒆹
zukum,𒍤𒀀 / 𒍤𒆸
zukum₂,
zulug,𒈜
zuluhu₃,𒍤𒀀 / 𒍤𒆸
zulumhi₃,𒍤𒀀 / 𒍤𒆸
zum,𒍮
zuq,𒆹
zur,𒀫
zur₂,𒋪
zur₄,𒇡
zur₅,𒇲
zur₈,𒊭
zuru₅,𒇲
zuru₉,𒁁
zurzub,𒂁
zurzub₂,𒆗
zusu,𒋥
